sentence	label
Play music from Carina Round	3
Find television show on Windows Live TV	5
오전 12시에 북쪽 인도 osteria 예약	1
Plya a tune by Kancherla Gopanna from 1951 on Zvooq	3
Add John Tesh to my salsa classics playlist	0
rate this current book album four stars	4
내년 세인트 마틴 날씨를 원해	2
Rough and Ready 사가를 받아주세요.	5
Add Ashley McIsaac to my r&b party classics playlist	0
I feel that The Loveday Trials is rated at a one out of 6 points.	4
add Love Story wa Totsuzen ni to the martin garrix show playlist	0
book a restaurant for six in MP	1
find the TV show Starship Titanic	5
Search for the Halfway Home TV show	5
What is the weather going to be like in Klondike Gold Rush National Historical Park on february the 28th, 2034?	2
Play the last 1954 ep by Povel Ramel.	3
Locate the Koi to Senkyo to Chocolate television show	5
is Cape Mount Nature Conservation Unit has storm weather	2
날 찾아 줘 The Wild Boys	5
What time is The Burning Season playing	6
rate First Man: The Life of Neil A. Armstrong three of 6	4
Open Lastfm and start playing whatever	3
Book a tavern in Colorado for two	1
내 금속에 Jamaica Say You Will 추가	0
play the Gary Chaw album	3
I am giving this current textbook zero out of 6 stars	4
베어스 빌 극장에서 라이브 찾기	5
rate Awaiting Strange Gods: Weird and Lovecraftian Fictions a 1	4
FM에서 나를위한 펍 찾기	1
사운드 트랙 아프리카 개발 전망 연감은 어떻게 찾나요?	5
북미 영화관에서 영화를 볼 시간 찾기	6
Sivamani 플레이	3
find movie schedules for Dickinson Theatres	6
Thorn Castle에 6 점 중 5 점 제공	4
2025 년 6 월 15 일부터 날씨가 폭풍우가 올 것입니다.	2
Find the movie times for North American Cinemas.	6
Will there be a storm six weeks from now in Albania?	2
give five out of 6 stars to The Arrows of Hercules	4
동네에서 상영되는 애니메이션 영화의 영화 일정은 어떻게 되나요?	6
먼 지역과 더운 기온에 대한 현재 지점 예보는 무엇입니까	2
팔라우 레스토랑 예약 6 년 후	1
가까운 애니메이션 영화의 영화 일정은 어떻게 되나요?	6
Where can I see animated movies that's nearby?	6
Puttering About in a Small Land을 별 6 개 중 0 개로 평가하세요.	4
What's the weather forecast for Central, North Dakota?	2
Find the schedule for films in the neighborhood.	6
나와 디아나가 말라위에서 레스토랑을 예약하고 싶어	1
play music by Bonobo	3
The Entity의 예고편을보고 싶습니다.	5
Book a table for 9 people at a delicatessen for April the twenty-eighth, 2018.	1
Rate A Taste of Blackberries  a three	4
Let me listen to Rouhollah Khaleghi on deezer.	3
I would like to book at Clinton Street Baking Company & Restaurant in Brookneal.	1
2037 년 5 월 13 일, 몬테네그로 와일더 빌의 모습	2
I want to hear Shooby Taylor's Tearing Up The Album Charts.	3
add the name covenant to the playlist Fusion Fest	0
모리셔스의 화이트 호스는 언제 더 따뜻해 질까요?	2
Please play Casino Boogie	3
The Light 사진을보고 싶습니다.	5
Please tell me the movie schedules?	6
Pillow Indiana에 눈이 올까요?	2
show creative photograph Island in the Sea	5
현재 소설 6 점 중 5 점 평가	4
소설 The Green을보고 싶어	5
TV 쇼 Naked II를보고 싶어	5
What are the movie times for Megaplex Theatres	6
패스트 푸드 점 예약하기.	1
help me the find the Thug Lordz Trilogy book	5
Play some Rockwell from around 1996	3
Find the schedule for To Shoot an Elephant at the nearest movie theatre.	6
I would give this current novel one stars	4
give this essay 4 points	4
Add Sifow to my Skatepark Punks playlist	0
Put this song on legendary guitar solos	0
What will the weather be in Umatilla Malta?	2
9 인용 레스토랑을 예약하세요.	1
I want to give The Garin Death Ray series 1 stars	4
Youth Against Christ 사가 찾기	5
죽어가는 시간의 오리온 별 4 개 평가	4
What's the weather forecast for Haigler?	2
RI의 일기 예보를 알려주세요	2
Google 뮤직에서 Mike Burney를 재생합니다.	3
폭군 찾기	5
매사추세츠에서 흡연실이있는 가까운 바 예약	1
내 La Mejor Música Dance 2017 재생 목록에 Hind Etin을 추가하고 싶습니다.	0
Rixford에있는 루마니아 식당에서 테이블 예약 해줘	1
Find movie schedules for  United Paramount Theatres.	6
Play some Drum & Bass	3
The Songlines에 별 5 개를 줘	4
Where is the TV show Am Universum 	5
Play the track Goodbye Alexander, Goodbye Honey Boy from Ehsaan Noorani	3
book a brasserie with a pool within the same area as my neighborhood for 5 people at 19:26	1
Book a reservation for six for a tyrolean oyster bar	1
1 초 안에 야회복 일정을 찾으세요.	6
I want to eat ice cream at a brasserie with me and my mother in law	1
Ace Ventura : The CD-Rom Game의 사진을 찾을 수 있습니까?	5
Vimeo에서 음악 재생	3
TV 쇼 MetaboLights는 어디에서 찾을 수 있습니까?	5
Find The 180.	5
Martin Lopez의 대중 음악을 듣고 싶어	3
Book a table for one at a highly rated bistro	1
play There Must Be More To Life Than This	3
영화 시간보기	6
원숭이 사운드 트랙보기	5
This current textbook deserves a rating of 3 points and a best rating of 6	4
what films are playing at the nearest movie house	6
뜨거운 온도에 대한 Random Lake 예보는 무엇입니까	2
1963 년의 사운드 트랙을 재생할 수 있습니까?	3
현재 책을 6 점 중 하나로 평가	4
Play me a nineties song by Joseph Genaro	3
Moondog의 Chupacabra를 재생합니다.	3
Dive Bomber 게임은 몇시입니까?	6
rate the current book 3 out of 6 stars	4
인형의 계곡 찾기	5
내년 가을 웨스트 버지니아의 추운 기온에 대한 예보는 어떻습니까	2
여기에 대한 일기 예보는 무엇입니까?	2
오후 3시 듀란트의 레스토랑	1
2 초 만에 네브래스카에있는 저와 제 여동생을위한 예약을 예약하세요	1
이 책은 현재의 점수와 3 점을 얻습니다.	4
Find a reservation at Berowra Waters Inn in Australia in 2 years 	1
find NHL on Fox	5
DE에서 9 인용 테이블을 예약 할 수 있습니까?	1
Re : Hamatora 에피소드 목록이라는 앨범을 찾습니다.	5
Itunes에서 Ebony Bones 플레이	3
5 인용 Gate City의 레스토랑을 예약하세요.	1
이 사가 평가 별 0 개	4
Speakeasy 극장의 영화 일정을 찾아보세요.	6
Randy Rhoads의 노래를 50 Clásicos 재생 목록에 추가	0
play drive playlist	3
영화 일정을 찾습니다.	6
내 Electro Sur 재생 목록을 재생합니다.	3
